,Carburant,Hybride,Puissance maximale (kW),type_boite,nombre_vitesses,CO2 (g/km),Carrosserie,gamme,masse vide moyenne
296,EH,oui,155.0,A,8,145.0,BERLINE,LUXE,1845.0
297,ES,non,132.0,V,0,152.0,BREAK,LUXE,1705.0
298,ES,non,132.0,M,6,154.0,BREAK,LUXE,1680.0
299,GO,non,180.0,A,7,156.0,BREAK,LUXE,1865.0
300,ES,non,309.0,A,7,226.0,BREAK,LUXE,2025.0
301,GO,non,130.0,V,0,135.0,BREAK,LUXE,1725.0
302,GO,non,130.0,M,6,132.0,BREAK,LUXE,1715.0
303,GO,non,100.0,V,0,135.0,BREAK,LUXE,1725.0
304,GO,non,100.0,M,6,132.0,BREAK,LUXE,1715.0
305,GO,non,230.0,A,8,166.0,BREAK,LUXE,1930.0
306,ES,non,228.0,A,7,190.0,BREAK,LUXE,1865.0
307,ES,non,150.0,V,0,172.0,BREAK,LUXE,1735.0
308,ES,non,150.0,M,6,177.0,BREAK,LUXE,1705.0
309,ES,non,150.0,A,7,187.0,BREAK,LUXE,1805.0
310,GO,non,180.0,A,7,156.0,BREAK,LUXE,1900.0
311,GO,non,150.0,A,7,152.0,BREAK,LUXE,1865.0
312,GO,non,150.0,V,0,136.0,BREAK,LUXE,1780.0
313,GO,non,150.0,M,6,139.0,BREAK,LUXE,1765.0
314,ES,non,412.0,A,8,229.0,BREAK,LUXE,2010.0
315,GO,non,180.0,A,7,165.0,TS TERRAINS/CHEMINS,LUXE,1930.0
316,GO,non,230.0,A,8,176.0,TS TERRAINS/CHEMINS,LUXE,1985.0
317,ES,non,228.0,A,7,206.0,TS TERRAINS/CHEMINS,LUXE,1930.0
318,GO,non,180.0,A,7,165.0,TS TERRAINS/CHEMINS,LUXE,1955.0
319,GO,non,150.0,A,7,159.0,TS TERRAINS/CHEMINS,LUXE,1930.0
320,ES,non,132.0,V,0,149.0,BERLINE,LUXE,1640.0
321,ES,non,132.0,M,6,151.0,BERLINE,LUXE,1615.0
322,GO,non,180.0,A,7,156.0,BERLINE,LUXE,1795.0
323,ES,non,309.0,A,7,225.0,BERLINE,LUXE,1970.0
324,GO,non,130.0,V,0,132.0,BERLINE,LUXE,1660.0
325,GO,non,130.0,M,6,129.0,BERLINE,LUXE,1650.0
326,GO,non,100.0,V,0,132.0,BERLINE,LUXE,1660.0
327,GO,non,100.0,M,6,129.0,BERLINE,LUXE,1650.0
328,GO,non,230.0,A,8,166.0,BERLINE,LUXE,1865.0
329,ES,non,228.0,A,7,190.0,BERLINE,LUXE,1815.0
330,ES,non,150.0,V,0,172.0,BERLINE,LUXE,1685.0
331,ES,non,150.0,M,6,177.0,BERLINE,LUXE,1645.0
332,ES,non,150.0,A,7,187.0,BERLINE,LUXE,1850.0
333,GO,non,180.0,A,7,156.0,BERLINE,LUXE,1835.0
334,GO,non,150.0,A,7,149.0,BERLINE,LUXE,1795.0
335,GO,non,150.0,V,0,133.0,BERLINE,LUXE,1720.0
336,GO,non,150.0,M,6,139.0,BERLINE,LUXE,1700.0
337,GO,non,180.0,A,7,156.0,BERLINE,LUXE,1860.0
338,ES,non,309.0,A,7,225.0,COUPE,LUXE,2020.0
339,GO,non,230.0,A,8,166.0,BERLINE,LUXE,1925.0
340,ES,non,220.0,A,7,190.0,BERLINE,LUXE,1860.0
341,ES,non,228.0,A,7,190.0,BERLINE,LUXE,1860.0
342,ES,non,150.0,V,0,172.0,BERLINE,LUXE,1735.0
343,ES,non,150.0,A,7,187.0,BERLINE,LUXE,1865.0
344,GO,non,180.0,A,7,156.0,BERLINE,LUXE,1895.0
345,GO,non,150.0,A,7,152.0,BERLINE,LUXE,1860.0
346,GO,non,150.0,V,0,135.0,BERLINE,LUXE,1770.0
347,ES,non,412.0,A,8,229.0,BERLINE,LUXE,1995.0
348,EH,oui,155.0,A,8,149.0,BERLINE,LUXE,1995.0
349,EH,oui,155.0,A,8,147.0,BERLINE,LUXE,1945.0
350,GO,non,258.0,A,8,198.0,BERLINE,LUXE,2120.0
351,GO,non,184.0,A,8,171.0,BERLINE,LUXE,1965.0
352,ES,non,368.0,A,8,277.0,BERLINE,LUXE,2130.0
353,ES,non,309.0,A,8,221.0,BERLINE,LUXE,2020.0
354,ES,non,213.0,A,8,205.0,BERLINE,LUXE,1955.0
355,GO,non,150.0,A,8,158.0,BERLINE,LUXE,1920.0
356,GO,non,184.0,A,8,171.0,BERLINE,LUXE,2005.0
357,GO,non,258.0,A,8,195.0,BERLINE,LUXE,2070.0
358,GO,non,184.0,A,8,169.0,BERLINE,LUXE,1915.0
359,ES,non,309.0,A,8,219.0,BERLINE,LUXE,1970.0
360,ES,non,382.0,A,8,235.0,BERLINE,LUXE,2050.0
361,ES,non,213.0,A,8,204.0,BERLINE,LUXE,1905.0
362,GO,non,150.0,A,8,158.0,BERLINE,LUXE,1870.0
363,GO,non,184.0,A,8,169.0,BERLINE,LUXE,1955.0
364,ES,non,125.0,A,7,179.0,TS TERRAINS/CHEMINS,SUPERIEURE,1630.0
365,GO,non,103.0,M,6,137.0,TS TERRAINS/CHEMINS,SUPERIEURE,1520.0
366,GO,non,103.0,A,7,152.0,TS TERRAINS/CHEMINS,SUPERIEURE,1645.0
367,GO,non,103.0,M,6,149.0,TS TERRAINS/CHEMINS,SUPERIEURE,1610.0
368,GO,non,130.0,M,6,144.0,TS TERRAINS/CHEMINS,SUPERIEURE,1565.0
369,GO,non,130.0,A,7,156.0,TS TERRAINS/CHEMINS,SUPERIEURE,1660.0
370,GO,non,130.0,M,6,148.0,TS TERRAINS/CHEMINS,SUPERIEURE,1650.0
371,ES,non,155.0,A,7,179.0,TS TERRAINS/CHEMINS,SUPERIEURE,1640.0
372,EH,oui,155.0,A,8,159.0,TS TERRAINS/CHEMINS,SUPERIEURE,1985.0
373,GO,non,180.0,A,7,169.0,TS TERRAINS/CHEMINS,SUPERIEURE,1935.0
374,GO,non,130.0,A,7,169.0,TS TERRAINS/CHEMINS,SUPERIEURE,1895.0
375,GO,non,130.0,M,6,154.0,TS TERRAINS/CHEMINS,SUPERIEURE,1830.0
376,GO,non,230.0,A,8,179.0,TS TERRAINS/CHEMINS,SUPERIEURE,1995.0
377,GO,non,110.0,M,6,139.0,TS TERRAINS/CHEMINS,SUPERIEURE,1755.0
378,GO,non,110.0,M,6,154.0,TS TERRAINS/CHEMINS,SUPERIEURE,1830.0
379,ES,non,132.0,M,6,174.0,TS TERRAINS/CHEMINS,SUPERIEURE,1795.0
380,ES,non,165.0,A,8,184.0,TS TERRAINS/CHEMINS,SUPERIEURE,1830.0
381,ES,non,165.0,M,6,174.0,TS TERRAINS/CHEMINS,SUPERIEURE,1795.0
382,GO,non,250.0,A,8,242.0,TS TERRAINS/CHEMINS,LUXE,2515.0
383,GO,non,150.0,A,8,189.0,TS TERRAINS/CHEMINS,LUXE,2375.0
384,ES,non,245.0,A,8,249.0,TS TERRAINS/CHEMINS,LUXE,2345.0
385,ES,non,200.0,A,8,249.0,TS TERRAINS/CHEMINS,LUXE,2325.0
386,GO,non,180.0,A,8,195.0,TS TERRAINS/CHEMINS,LUXE,2375.0
387,ES,non,316.0,A,7,289.0,COUPE,LUXE,1660.0
388,ES,non,316.0,M,6,332.0,COUPE,LUXE,1635.0
389,ES,non,404.0,A,7,299.0,COUPE,LUXE,1670.0
390,ES,non,404.0,M,6,346.0,COUPE,LUXE,1645.0
391,ES,non,386.0,A,7,305.0,COUPE,LUXE,1720.0
392,ES,non,386.0,M,6,346.0,COUPE,LUXE,1695.0
393,ES,non,316.0,A,7,294.0,COUPE,LUXE,1760.0
394,ES,non,316.0,M,6,337.0,COUPE,LUXE,1735.0
395,ES,non,386.0,A,7,310.0,COUPE,LUXE,1820.0
396,ES,non,386.0,M,6,349.0,COUPE,LUXE,1795.0
397,ES,non,118.0,A,7,147.0,COUPE,LUXE,1355.0
398,ES,non,118.0,M,6,149.0,COUPE,LUXE,1335.0
399,ES,non,200.0,A,6,179.0,COUPE,LUXE,1505.0
400,ES,non,200.0,M,6,184.0,COUPE,LUXE,1485.0
401,ES,non,250.0,A,7,197.0,COUPE,LUXE,1550.0
402,ES,non,250.0,M,6,209.0,COUPE,LUXE,1525.0
403,ES,non,265.0,A,7,197.0,COUPE,LUXE,1550.0
404,ES,non,265.0,M,6,209.0,COUPE,LUXE,1525.0
405,ES,non,155.0,A,6,164.0,COUPE,LUXE,1375.0
406,ES,non,155.0,M,6,154.0,COUPE,LUXE,1355.0
407,ES,non,155.0,A,6,169.0,COUPE,LUXE,1455.0
408,GO,non,125.0,A,6,144.0,COUPE,LUXE,1490.0
409,GO,non,125.0,M,6,139.0,COUPE,LUXE,1465.0
410,ES,non,118.0,A,7,152.0,COUPE,LUXE,1395.0
411,ES,non,118.0,M,6,152.0,COUPE,LUXE,1380.0
412,ES,non,200.0,A,6,184.0,COUPE,LUXE,1570.0
413,ES,non,200.0,M,6,189.0,COUPE,LUXE,1550.0
414,ES,non,250.0,A,7,199.0,COUPE,LUXE,1610.0
415,ES,non,250.0,M,6,212.0,COUPE,LUXE,1585.0
416,ES,non,265.0,A,7,199.0,COUPE,LUXE,1610.0
417,ES,non,265.0,M,6,212.0,COUPE,LUXE,1585.0
418,ES,non,155.0,A,6,168.0,COUPE,LUXE,1395.0
419,ES,non,155.0,M,6,156.0,COUPE,LUXE,1390.0
420,ES,non,155.0,A,6,172.0,COUPE,LUXE,1500.0
421,GO,non,125.0,A,6,146.0,COUPE,LUXE,1535.0
422,GO,non,125.0,M,6,144.0,COUPE,LUXE,1505.0
423,ES,non,460.0,A,8,338.0,COUPE,LUXE,2395.0
425,ES,non,423.0,A,8,338.0,COUPE,LUXE,2395.0
427,ES,non,373.0,A,8,246.0,COUPE,LUXE,2370.0
429,ES,non,460.0,A,8,347.0,COUPE,LUXE,2570.0
431,ES,non,423.0,A,8,347.0,CABRIOLET,LUXE,2570.0
433,ES,non,373.0,A,8,254.0,CABRIOLET,LUXE,2545.0
435,ES,non,460.0,A,8,343.0,BERLINE,LUXE,2565.0
437,ES,non,460.0,A,8,343.0,BERLINE,LUXE,2550.0
439,ES,non,373.0,A,8,250.0,BERLINE,LUXE,2505.0
441,ES,non,373.0,A,8,250.0,BERLINE,LUXE,2492.0
443,ES,non,377.0,A,8,393.0,BERLINE,LUXE,2760.0
445,GO,non,70.0,M,6,112.0,BERLINE,MOY-INFER,1380.0
446,ES,non,75.0,M,6,129.0,BERLINE,MOY-INFER,1365.0
447,ES,non,75.0,M,6,132.0,BERLINE,MOY-INFER,1365.0
448,GO,non,70.0,M,6,112.0,BERLINE,MOY-INFER,1385.0
449,ES,non,90.0,M,6,143.0,BERLINE,MOY-INFER,1320.0
450,ES,non,90.0,A,6,154.0,BERLINE,MOY-INFER,1350.0
451,GO,non,85.0,M,6,118.0,BERLINE,MOY-INFER,1370.0
452,ES,non,100.0,A,8,134.0,BERLINE,MOY-INFER,1385.0
453,ES,non,100.0,M,6,132.0,BERLINE,MOY-INFER,1365.0
454,ES,non,160.0,A,8,149.0,BERLINE,MOY-INFER,1440.0
455,ES,non,160.0,M,6,154.0,BERLINE,MOY-INFER,1420.0
456,GO,non,85.0,A,8,119.0,BERLINE,MOY-INFER,1420.0
457,GO,non,85.0,M,6,117.0,BERLINE,MOY-INFER,1385.0
458,ES,non,105.0,M,6,152.0,BERLINE,MOY-INFER,1495.0
459,ES,non,105.0,A,6,162.0,BERLINE,MOY-INFER,1520.0
460,GO,non,105.0,M,6,127.0,CABRIOLET,MOY-INFER,1560.0
461,GO,non,105.0,A,6,145.0,CABRIOLET,MOY-INFER,1575.0
462,GO,non,105.0,M,6,118.0,COUPE,MOY-INFER,1395.0
463,GO,non,105.0,A,6,140.0,COUPE,MOY-INFER,1420.0
464,ES,non,125.0,A,8,134.0,BERLINE,MOY-INFER,1390.0
465,ES,non,125.0,M,6,137.0,BERLINE,MOY-INFER,1370.0
466,GO,non,105.0,M,6,119.0,BERLINE,MOY-INFER,1385.0
467,GO,non,105.0,A,6,140.0,BERLINE,MOY-INFER,1410.0
468,ES,non,105.0,M,6,143.0,BERLINE,MOY-INFER,1340.0
469,ES,non,105.0,A,6,154.0,BERLINE,MOY-INFER,1365.0
471,ES,non,125.0,M,6,134.0,BERLINE,MOY-INFER,1370.0
472,GO,non,105.0,A,8,119.0,BERLINE,MOY-INFER,1420.0
473,GO,non,105.0,M,6,118.0,BERLINE,MOY-INFER,1395.0
474,ES,non,125.0,M,6,152.0,COUPE,MOY-INFER,1375.0
475,ES,non,125.0,A,6,154.0,COUPE,MOY-INFER,1395.0
476,ES,non,125.0,M,6,158.0,CABRIOLET,MOY-INFER,1505.0
477,ES,non,125.0,A,6,163.0,CABRIOLET,MOY-INFER,1535.0
478,GO,non,130.0,M,6,132.0,CABRIOLET,MOY-INFER,1580.0
479,GO,non,130.0,A,6,145.0,CABRIOLET,MOY-INFER,1590.0
480,GO,non,130.0,M,6,124.0,COUPE,MOY-INFER,1450.0
481,GO,non,130.0,A,6,140.0,COUPE,MOY-INFER,1450.0
482,GO,non,135.0,M,6,119.0,BERLINE,MOY-INFER,1415.0
483,GO,non,135.0,M,6,122.0,BERLINE,MOY-INFER,1415.0
484,GO,non,135.0,M,6,123.0,BERLINE,MOY-INFER,1495.0
485,GO,non,135.0,M,6,126.0,BERLINE,MOY-INFER,1495.0
486,ES,non,125.0,M,6,153.0,BERLINE,MOY-INFER,1365.0
487,ES,non,125.0,A,6,155.0,BERLINE,MOY-INFER,1385.0
488,GO,non,130.0,M,6,125.0,BERLINE,MOY-INFER,1440.0
489,GO,non,130.0,A,6,140.0,BERLINE,MOY-INFER,1440.0
490,GO,non,135.0,M,6,123.0,BERLINE,MOY-INFER,1500.0
491,GO,non,135.0,M,6,126.0,BERLINE,MOY-INFER,1500.0
